date,plot,range,column,scientificname,genotype,treatment,blocking_height,method,aboveground_dry_biomass,units,method_type
2017-09-15,MAC Field Scanner Season 4 Range 51 Column 15,51,15,Sorghum bicolor,PI569421,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,12950,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 52 Column 13,52,13,Sorghum bicolor,PI330168,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,37670,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 19 Column 15,19,15,Sorghum bicolor,PI329699,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,21960,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 20 Column 3,20,3,Sorghum bicolor,PI656026,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,11110,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 20 Column 9,20,9,Sorghum bicolor,PI535792,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,17900,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 30 Column 9,30,9,Sorghum bicolor,PI329518,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,12940,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 2 Column 4,2,4,Sorghum bicolor,Big_Kahuna,MAC Season 4: BAP water-deficit stress Aug 15-30,border,Whole above ground biomass at harvest,17850,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 4 Column 4,4,4,Sorghum bicolor,PI330169,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,36400,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 4 Column 9,4,9,Sorghum bicolor,PI585608,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,20770,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 5 Column 3,5,3,Sorghum bicolor,PI221651,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,28760,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 9 Column 3,9,3,Sorghum bicolor,PI569457,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,18450,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 9 Column 11,9,11,Sorghum bicolor,PI570431,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,47210,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 11 Column 3,11,3,Sorghum bicolor,PI655978,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,8921,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 11 Column 4,11,4,Sorghum bicolor,PI180348,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,18790,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 12 Column 2,12,2,Sorghum bicolor,PI533998,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,2252,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 12 Column 3,12,3,Sorghum bicolor,PI253986,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,37320,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 12 Column 10,12,10,Sorghum bicolor,PI562981,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,23830,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 14 Column 3,14,3,Sorghum bicolor,PI505717,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,20780,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 15 Column 3,15,3,Sorghum bicolor,PI570114,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,14550,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 17 Column 14,17,14,Sorghum bicolor,PI152860,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,23790,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 19 Column 11,19,11,Sorghum bicolor,PI452692,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,34880,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 21 Column 9,21,9,Sorghum bicolor,PI569453,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,17130,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 22 Column 10,22,10,Sorghum bicolor,PI329673,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,20740,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 24 Column 11,24,11,Sorghum bicolor,PI569421,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,25510,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 28 Column 9,28,9,Sorghum bicolor,PI329646,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,18420,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 31 Column 9,31,9,Sorghum bicolor,PI217691,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,18660,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 31 Column 11,31,11,Sorghum bicolor,PI641817,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,17150,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 28 Column 14,28,14,Sorghum bicolor,PI329645,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,13630,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 32 Column 9,32,9,Sorghum bicolor,PI152862,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,27020,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 37 Column 9,37,9,Sorghum bicolor,PI152967,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,28540,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 36 Column 13,36,13,Sorghum bicolor,PI563350,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,30940,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 39 Column 10,39,10,Sorghum bicolor,PI505722,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,17360,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 40 Column 2,40,2,Sorghum bicolor,PI329310,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,27310,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 42 Column 2,42,2,Sorghum bicolor,PI257600,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,18010,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 43 Column 11,43,11,Sorghum bicolor,PI167093,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,32510,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 45 Column 2,45,2,Sorghum bicolor,PI585454,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,10080,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 45 Column 3,45,3,Sorghum bicolor,PI570373,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,29230,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 50 Column 4,50,4,Sorghum bicolor,PI535794,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,11470,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 50 Column 11,50,11,Sorghum bicolor,PI152828,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,23620,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 51 Column 4,51,4,Sorghum bicolor,PI586435,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,22790,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 52 Column 11,52,11,Sorghum bicolor,PI157030,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,20650,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 14 Column 5,14,5,Sorghum bicolor,PI562997,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,32520,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 14 Column 7,14,7,Sorghum bicolor,PI329618,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,7152,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 25 Column 7,25,7,Sorghum bicolor,PI330858,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,36290,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 30 Column 7,30,7,Sorghum bicolor,PI329632,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,19420,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 2 Column 8,2,8,Sorghum bicolor,Big_Kahuna,MAC Season 4: BAP water-deficit stress Aug 1-14,border,Whole above ground biomass at harvest,21960,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 22 Column 8,22,8,Sorghum bicolor,PI569459,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,9614,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 33 Column 8,33,8,Sorghum bicolor,PI145619,MAC Season 4: BAP water-deficit stress Aug 1-14,medium,Whole above ground biomass at harvest,31220,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 35 Column 8,35,8,Sorghum bicolor,PI562897,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,27800,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 39 Column 8,39,8,Sorghum bicolor,PI154846,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,24160,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 49 Column 8,49,8,Sorghum bicolor,PI330181,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,31100,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 50 Column 8,50,8,Sorghum bicolor,PI593916,MAC Season 4: BAP water-deficit stress Aug 1-14,short,Whole above ground biomass at harvest,37150,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 4 Column 7,4,7,Sorghum bicolor,PI156217,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,17810,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 5 Column 7,5,7,Sorghum bicolor,PI329300,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,46260,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 10 Column 5,10,5,Sorghum bicolor,PI641821,MAC Season 4: BAP water-deficit stress Aug 1-14,medium,Whole above ground biomass at harvest,43730,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 13 Column 5,13,5,Sorghum bicolor,PI586443,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,8775,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 15 Column 7,15,7,Sorghum bicolor,PI152971,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,28380,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 17 Column 7,17,7,Sorghum bicolor,PI157030,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,32720,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 23 Column 5,23,5,Sorghum bicolor,PI329841,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,20410,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 31 Column 7,31,7,Sorghum bicolor,PI329506,MAC Season 4: BAP water-deficit stress Aug 1-14,medium,Whole above ground biomass at harvest,22400,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 34 Column 5,34,5,Sorghum bicolor,PI153877,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,33190,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 31 Column 12,31,12,Sorghum bicolor,PI255744,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,22790,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 31 Column 14,31,14,Sorghum bicolor,PI179749,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,10380,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 35 Column 5,35,5,Sorghum bicolor,PI569419,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,13290,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 38 Column 7,38,7,Sorghum bicolor,PI157804,MAC Season 4: BAP water-deficit stress Aug 1-14,medium,Whole above ground biomass at harvest,28050,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 40 Column 6,40,6,Sorghum bicolor,PI329841,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,47970,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 49 Column 5,49,5,Sorghum bicolor,PI653616,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,25790,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 50 Column 5,50,5,Sorghum bicolor,PI527045,MAC Season 4: BAP water-deficit stress Aug 1-14,short,Whole above ground biomass at harvest,21740,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 20 Column 12,20,12,Sorghum bicolor,PI329435,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,9525,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 30 Column 14,30,14,Sorghum bicolor,PI329519,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,9635,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 3 Column 12,3,12,Sorghum bicolor,PI152771,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,21990,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 4 Column 15,4,15,Sorghum bicolor,PI563355,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,15690,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 5 Column 12,5,12,Sorghum bicolor,PI563331,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,35100,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 11 Column 13,11,13,Sorghum bicolor,PI535793,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,25330,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 13 Column 15,13,15,Sorghum bicolor,PI156268,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,8841,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 18 Column 12,18,12,Sorghum bicolor,PI655981,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,15260,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 18 Column 15,18,15,Sorghum bicolor,PI218112,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,14890,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 24 Column 14,24,14,Sorghum bicolor,PI157804,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,20070,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 26 Column 12,26,12,Sorghum bicolor,PI156330,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,14060,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 28 Column 15,28,15,Sorghum bicolor,PI156890,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,15850,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 32 Column 13,32,13,Sorghum bicolor,PI585966,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,12110,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 34 Column 13,34,13,Sorghum bicolor,PI154987,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,37020,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 34 Column 14,34,14,Sorghum bicolor,PI452619,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,28470,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 40 Column 14,40,14,Sorghum bicolor,PI506030,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,30660,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 41 Column 14,41,14,Sorghum bicolor,PI646242,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,25640,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 46 Column 14,46,14,Sorghum bicolor,PI564163,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,9948,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 47 Column 12,47,12,Sorghum bicolor,PI156178,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,22000,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 50 Column 13,50,13,Sorghum bicolor,PI52606,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,27410,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 50 Column 15,50,15,Sorghum bicolor,PI656065,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,23680,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 52 Column 12,52,12,Sorghum bicolor,PI329480,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,18520,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 20 Column 13,20,13,Sorghum bicolor,PI533902,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,27700,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 2 Column 9,2,9,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,border,Whole above ground biomass at harvest,36900,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 3 Column 4,3,4,Sorghum bicolor,PI145626,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,23190,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 4 Column 2,4,2,Sorghum bicolor,PI329473,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,21540,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 7 Column 9,7,9,Sorghum bicolor,PI562897,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,37200,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 7 Column 11,7,11,Sorghum bicolor,PI619807,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,26180,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 8 Column 11,8,11,Sorghum bicolor,PI330199,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,20330,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 9 Column 2,9,2,Sorghum bicolor,PI569416,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,9052,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 11 Column 10,11,10,Sorghum bicolor,PI561840,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,20140,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 13 Column 3,13,3,Sorghum bicolor,PI330833,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,16430,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 13 Column 11,13,11,Sorghum bicolor,PI152967,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,25900,kg/ha,manual
2017-09-14,MAC Field Scanner Season 4 Range 16 Column 10,16,10,Sorghum bicolor,PI569465,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,10310,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 18 Column 4,18,4,Sorghum bicolor,PI540518,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,11840,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 17 Column 13,17,13,Sorghum bicolor,PI586541,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,22810,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 18 Column 9,18,9,Sorghum bicolor,PI535785,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,30280,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 24 Column 2,24,2,Sorghum bicolor,PI641815,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,23130,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 24 Column 3,24,3,Sorghum bicolor,PI63715,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,12590,kg/ha,manual
2017-09-10,MAC Field Scanner Season 4 Range 24 Column 4,24,4,Sorghum bicolor,PI585577,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,15640,kg/ha,manual
