date,sitename,range,column,lat,lon,treatment,cultivar,aboveground_dry_biomass,units
2017-09-10,MAC Field Scanner Season 4 Range 29 Column 3,29,3,33.0755539835366,-111.97501524280199,MAC Season 4: BAP water-deficit stress Aug 15-30,PI92270,1244.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 29 Column 4,29,4,33.075553988847105,-111.97499887352801,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641829,18480.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 19 Column 2,19,2,33.0751945572088,-111.97503144698901,MAC Season 4: BAP water-deficit stress Aug 15-30,PI524475,12310.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 7 Column 4,7,4,33.0747632626494,-111.974998510747,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329710,23870.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 35 Column 2,35,2,33.0757696307558,-111.97503171106199,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329570,15560.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 43 Column 3,43,3,33.0760571728799,-111.97501547385299,MAC Season 4: BAP water-deficit stress Aug 15-30,PI455307,16470.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 50 Column 4,50,4,33.0763087728276,-111.974999219944,MAC Season 4: BAP water-deficit stress Aug 15-30,PI535794,11470.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 45 Column 3,45,3,33.0761290570301,-111.975015506828,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570373,29230.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 45 Column 2,45,2,33.0761290516928,-111.975031876204,MAC Season 4: BAP water-deficit stress Aug 15-30,PI585454,10080.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 42 Column 2,42,2,33.0760212254226,-111.975031826695,MAC Season 4: BAP water-deficit stress Aug 15-30,PI257600,18010.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 40 Column 2,40,2,33.075949341226604,-111.97503179365499,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329310,27310.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 53 Column 4,53,4,33.076416599138305,-111.974999269476,MAC Season 4: BAP water-deficit stress Aug 15-30,Big_Kahuna,16230.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 15 Column 3,15,3,33.0750507941532,-111.975015011828,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570114,14550.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 14 Column 3,14,3,33.0750148520048,-111.975014995329,MAC Season 4: BAP water-deficit stress Aug 15-30,PI505717,20780.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 2 Column 3,2,3,33.0745835468133,-111.97501479743,MAC Season 4: BAP water-deficit stress Aug 15-30,SP1615,34420.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 20 Column 3,20,3,33.0752305046456,-111.975015094294,MAC Season 4: BAP water-deficit stress Aug 15-30,PI656026,11110.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 12 Column 2,12,2,33.0749429624863,-111.975031331477,MAC Season 4: BAP water-deficit stress Aug 15-30,PI533998,2252.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 11 Column 3,11,3,33.074907025738,-111.975014945819,MAC Season 4: BAP water-deficit stress Aug 15-30,PI655978,8921.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 9 Column 3,9,3,33.074835141484,-111.975014912817,MAC Season 4: BAP water-deficit stress Aug 15-30,PI569457,18450.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 5 Column 3,5,3,33.0746913731309,-111.975014846868,MAC Season 4: BAP water-deficit stress Aug 15-30,PI221651,28760.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 4 Column 4,4,4,33.074655436310394,-111.974998461269,MAC Season 4: BAP water-deficit stress Aug 15-30,PI330169,36400.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 2 Column 4,2,4,33.0745835521431,-111.97499842834,MAC Season 4: BAP water-deficit stress Aug 15-30,Big_Kahuna,17850.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 53 Column 2,53,2,33.0764165884638,-111.975032008335,MAC Season 4: BAP water-deficit stress Aug 15-30,Big_Kahuna,16040.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 47 Column 4,47,4,33.0762009465373,-111.97499917047199,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570074,6259.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 44 Column 4,44,4,33.076093120273,-111.97499912097,MAC Season 4: BAP water-deficit stress Aug 15-30,PI156487,20860.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 44 Column 2,44,2,33.0760931096181,-111.975031859683,MAC Season 4: BAP water-deficit stress Aug 15-30,PI330807,28530.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 11 Column 4,11,4,33.074907031068896,-111.97499857666901,MAC Season 4: BAP water-deficit stress Aug 15-30,PI180348,18790.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 7 Column 3,7,3,33.074763257319,-111.97501487986999,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570085,16360.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 35 Column 2,35,2,33.0757696307558,-111.97503171106199,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329570,15560.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 6 Column 3,6,3,33.074727315236395,-111.97501486337099,MAC Season 4: BAP water-deficit stress Aug 15-30,PI569423,14430.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 41 Column 2,41,2,33.075985283302195,-111.975031810174,MAC Season 4: BAP water-deficit stress Aug 15-30,PI566819,21290.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 36 Column 3,36,3,33.075805578168605,-111.975015358264,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329333,25870.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 36 Column 2,36,2,33.0758055728324,-111.97503172758002,MAC Season 4: BAP water-deficit stress Aug 15-30,PI155885,15750.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 35 Column 4,35,4,33.0757696414254,-111.974998972496,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329644,17570.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 21 Column 3,21,3,33.0752664467427,-111.97501511077299,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329570,24900.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 34 Column 4,34,4,33.0757336993484,-111.974998955993,MAC Season 4: BAP water-deficit stress Aug 15-30,PI22913,16450.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 34 Column 2,34,2,33.075733688696104,-111.975031694572,MAC Season 4: BAP water-deficit stress Aug 15-30,PI569454,14050.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 31 Column 3,31,3,33.0756258676926,-111.975015275766,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641860,16080.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 27 Column 4,27,4,33.0754821046229,-111.97499884052799,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641835,17410.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 41 Column 3,41,3,33.075985288639004,-111.975015440825,MAC Season 4: BAP water-deficit stress Aug 15-30,PI643008,4379.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 26 Column 3,26,3,33.0754461572115,-111.97501519327801,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570071,7938.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 22 Column 3,22,3,33.0753023888052,-111.975015127251,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329665,16550.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 22 Column 2,22,2,33.0753023834708,-111.975031496474,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329518,12510.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 16 Column 3,16,3,33.075086736216996,-111.975015028304,MAC Season 4: BAP water-deficit stress Aug 15-30,PI569886,13360.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 12 Column 4,12,4,33.0749429731506,-111.974998593164,MAC Season 4: BAP water-deficit stress Aug 15-30,PI655983,24960.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 10 Column 4,10,4,33.0748710889419,-111.974998560174,MAC Season 4: BAP water-deficit stress Aug 15-30,PI297155,12780.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 10 Column 3,10,3,33.0748710836335,-111.975014929314,MAC Season 4: BAP water-deficit stress Aug 15-30,PI175919,20920.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 6 Column 4,6,4,33.074727320566694,-111.974998494254,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329286,17300.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 5 Column 2,5,2,33.0746913678213,-111.975031215982,MAC Season 4: BAP water-deficit stress Aug 15-30,PI569445,5855.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 31 Column 2,31,2,33.075625862357,-111.975031645049,MAC Season 4: BAP water-deficit stress Aug 15-30,PI195754,17820.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 23 Column 3,23,3,33.0753383308846,-111.975015143757,MAC Season 4: BAP water-deficit stress Aug 15-30,PI585954,18820.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 42 Column 3,42,3,33.0760212307371,-111.975015457342,MAC Season 4: BAP water-deficit stress Aug 15-30,PI251672,23490.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 44 Column 3,44,3,33.0760931149553,-111.975015490313,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152728,18110.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 52 Column 4,52,4,33.0763806570199,-111.97499925296499,MAC Season 4: BAP water-deficit stress Aug 15-30,PI155760,29240.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 8 Column 4,8,4,33.0747992047494,-111.974998527213,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329584,5968.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 11 Column 2,11,2,33.07490702040489,-111.975031314969,MAC Season 4: BAP water-deficit stress Aug 15-30,PI576399,18200.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 43 Column 3,43,3,33.0760571728799,-111.97501547385299,MAC Season 4: BAP water-deficit stress Aug 15-30,PI455307,16470.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 44 Column 2,44,2,33.0760931096181,-111.975031859683,MAC Season 4: BAP water-deficit stress Aug 15-30,PI330807,28530.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 44 Column 4,44,4,33.076093120273,-111.97499912097,MAC Season 4: BAP water-deficit stress Aug 15-30,PI156487,20860.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 14 Column 4,14,4,33.0750148573134,-111.974998626155,MAC Season 4: BAP water-deficit stress Aug 15-30,PI562985,21730.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 15 Column 4,15,4,33.0750507994619,-111.97499864264799,MAC Season 4: BAP water-deficit stress Aug 15-30,PI156890,16670.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 47 Column 4,47,4,33.0762009465373,-111.97499917047199,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570074,6259.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 17 Column 2,17,2,33.0751226729811,-111.97503141397101,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329541,5851.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 53 Column 2,53,2,33.0764165884638,-111.975032008335,MAC Season 4: BAP water-deficit stress Aug 15-30,Big_Kahuna,16040.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 27 Column 3,27,3,33.07548209929001,-111.975015209785,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641892,21280.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 52 Column 2,52,2,33.0763806463907,-111.97503199181101,MAC Season 4: BAP water-deficit stress Aug 15-30,PI585954,14740.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 51 Column 3,51,3,33.0763447095654,-111.97501560587,MAC Season 4: BAP water-deficit stress Aug 15-30,PI145633,17740.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 32 Column 2,32,2,33.0756618044344,-111.975031661565,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152961,17160.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 50 Column 2,50,2,33.0763087621538,-111.97503195876301,MAC Season 4: BAP water-deficit stress Aug 15-30,PI181083,7793.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 49 Column 2,49,2,33.076272820080106,-111.97503194224,MAC Season 4: BAP water-deficit stress Aug 15-30,PI563338,21910.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 48 Column 4,48,4,33.076236888679105,-111.974999186978,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329550,17050.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 53 Column 3,53,3,33.0764165938021,-111.975015638906,MAC Season 4: BAP water-deficit stress Aug 15-30,SP1615,32080.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 36 Column 4,36,4,33.0758055835196,-111.974998988974,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152771,23870.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 38 Column 3,38,3,33.0758774623888,-111.975015391283,MAC Season 4: BAP water-deficit stress Aug 15-30,PI35038,31380.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 46 Column 4,46,4,33.0761650044401,-111.97499915396001,MAC Season 4: BAP water-deficit stress Aug 15-30,PI576401,14920.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 51 Column 4,51,4,33.076344714901296,-111.974999236454,MAC Season 4: BAP water-deficit stress Aug 15-30,PI586435,22790.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 51 Column 2,51,2,33.076344704250005,-111.97503197529,MAC Season 4: BAP water-deficit stress Aug 15-30,PI535795,13450.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 12 Column 3,12,3,33.0749429678195,-111.975014962321,MAC Season 4: BAP water-deficit stress Aug 15-30,PI253986,37320.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 3 Column 2,3,2,33.0746194835651,-111.97503118296999,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329465,14400.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 3 Column 3,3,3,33.0746194888972,-111.975014813874,MAC Season 4: BAP water-deficit stress Aug 15-30,PI22913,17350.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 28 Column 2,28,2,33.075518036100604,-111.97503159555299,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152971,23730.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 2 Column 2,2,2,33.0745835414644,-111.975031166493,MAC Season 4: BAP water-deficit stress Aug 15-30,Big_Kahuna,15910.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 6 Column 2,6,2,33.0747273099039,-111.975031232487,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570075,14710.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 32 Column 3,32,3,33.075661809770104,-111.975015292275,MAC Season 4: BAP water-deficit stress Aug 15-30,PI330199,32250.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 34 Column 3,34,3,33.0757336940146,-111.975015325296,MAC Season 4: BAP water-deficit stress Aug 15-30,PI585461,21410.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 39 Column 3,39,3,33.0759134044875,-111.9750154078,MAC Season 4: BAP water-deficit stress Aug 15-30,PI651496,17910.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 40 Column 3,40,3,33.0759493465634,-111.975015424312,MAC Season 4: BAP water-deficit stress Aug 15-30,PI330858,26110.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 40 Column 4,40,4,33.0759493518979,-111.974999054969,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329585,11880.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 48 Column 2,48,2,33.0762368780233,-111.975031925744,MAC Season 4: BAP water-deficit stress Aug 15-30,PI620157,12260.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 30 Column 3,30,3,33.0755899255975,-111.975015259284,MAC Season 4: BAP water-deficit stress Aug 15-30,PI563006,11110.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 30 Column 4,30,4,33.0755899309478,-111.974998890034,MAC Season 4: BAP water-deficit stress Aug 15-30,PI569416,17260.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 20 Column 4,20,4,33.0752305099776,-111.97499872508499,MAC Season 4: BAP water-deficit stress Aug 15-30,PI526905,12220.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 31 Column 2,31,2,33.075625862357,-111.975031645049,MAC Season 4: BAP water-deficit stress Aug 15-30,PI195754,17820.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 14 Column 2,14,2,33.0750148467161,-111.975031364491,MAC Season 4: BAP water-deficit stress Aug 15-30,PI330182,1137.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 7 Column 2,7,2,33.0747632520038,-111.975031248967,MAC Season 4: BAP water-deficit stress Aug 15-30,PI303658,42000.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 8 Column 4,8,4,33.0747992047494,-111.974998527213,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329584,5968.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 11 Column 2,11,2,33.07490702040489,-111.975031314969,MAC Season 4: BAP water-deficit stress Aug 15-30,PI576399,18200.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 26 Column 4,26,4,33.0754461625443,-111.97499882402799,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329569,43940.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 52 Column 4,52,4,33.0763806570199,-111.97499925296499,MAC Season 4: BAP water-deficit stress Aug 15-30,PI155760,29240.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 46 Column 4,46,4,33.0761650044401,-111.97499915396001,MAC Season 4: BAP water-deficit stress Aug 15-30,PI576401,14920.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 38 Column 3,38,3,33.0758774623888,-111.975015391283,MAC Season 4: BAP water-deficit stress Aug 15-30,PI35038,31380.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 36 Column 4,36,4,33.0758055835196,-111.974998988974,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152771,23870.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 32 Column 2,32,2,33.0756618044344,-111.975031661565,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152961,17160.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 16 Column 4,16,4,33.0750867415655,-111.974998659148,MAC Season 4: BAP water-deficit stress Aug 15-30,PI562970,35010.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 27 Column 3,27,3,33.07548209929001,-111.975015209785,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641892,21280.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 6 Column 2,6,2,33.0747273099039,-111.975031232487,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570075,14710.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 18 Column 2,18,2,33.075158615084,-111.975031430485,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570042,9693.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 19 Column 4,19,4,33.0751945678301,-111.97499870859,MAC Season 4: BAP water-deficit stress Aug 15-30,PI569455,26270.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 17 Column 2,17,2,33.0751226729811,-111.97503141397101,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329541,5851.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 53 Column 4,53,4,33.076416599138305,-111.974999269476,MAC Season 4: BAP water-deficit stress Aug 15-30,Big_Kahuna,16230.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 5 Column 4,5,4,33.0746913784163,-111.97499847776501,MAC Season 4: BAP water-deficit stress Aug 15-30,PI525049,26000.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 15 Column 4,15,4,33.0750507994619,-111.97499864264799,MAC Season 4: BAP water-deficit stress Aug 15-30,PI156890,16670.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 14 Column 4,14,4,33.0750148573134,-111.974998626155,MAC Season 4: BAP water-deficit stress Aug 15-30,PI562985,21730.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 4 Column 3,4,3,33.0746554309804,-111.975014830372,MAC Season 4: BAP water-deficit stress Aug 15-30,PI646251,6660.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 8 Column 2,8,2,33.0747991940691,-111.97503126544599,MAC Season 4: BAP water-deficit stress Aug 15-30,PI176766,18790.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 7 Column 2,7,2,33.0747632520038,-111.975031248967,MAC Season 4: BAP water-deficit stress Aug 15-30,PI303658,42000.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 13 Column 4,13,4,33.0749789152321,-111.97499860965901,MAC Season 4: BAP water-deficit stress Aug 15-30,PI569244,26630.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 53 Column 4,53,4,33.076416599138305,-111.974999269476,MAC Season 4: BAP water-deficit stress Aug 15-30,Big_Kahuna,16230.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 33 Column 3,33,3,33.0756977518924,-111.975015308785,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641815,19500.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 33 Column 4,33,4,33.075697757203805,-111.974998939492,MAC Season 4: BAP water-deficit stress Aug 15-30,PI562971,43140.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 8 Column 4,8,4,33.0747992047494,-111.974998527213,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329584,5968.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 32 Column 2,32,2,33.0756618044344,-111.975031661565,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152961,17160.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 36 Column 4,36,4,33.0758055835196,-111.974998988974,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152771,23870.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 38 Column 3,38,3,33.0758774623888,-111.975015391283,MAC Season 4: BAP water-deficit stress Aug 15-30,PI35038,31380.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 46 Column 4,46,4,33.0761650044401,-111.97499915396001,MAC Season 4: BAP water-deficit stress Aug 15-30,PI576401,14920.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 17 Column 2,17,2,33.0751226729811,-111.97503141397101,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329541,5851.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 23 Column 4,23,4,33.075338336217,-111.974998774527,MAC Season 4: BAP water-deficit stress Aug 15-30,PI651497,29480.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 15 Column 4,15,4,33.0750507994619,-111.97499864264799,MAC Season 4: BAP water-deficit stress Aug 15-30,PI156890,16670.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 18 Column 3,18,3,33.0751586203953,-111.975015061285,MAC Season 4: BAP water-deficit stress Aug 15-30,PI196598,30080.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 38 Column 4,38,4,33.0758774677007,-111.974999021957,MAC Season 4: BAP water-deficit stress Aug 15-30,PI175919,16630.0,kg / ha
